Room_URI,Room,Capacity,Institute,Approval Mode,Availability,Building,Address,Room Number
/events/roomSchedule.xhtml?windowId=ae2&roomCode=5260,Seminarraum 5/260,20,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Karlsplatz 13, Stiege 7",AFDG14
/events/roomSchedule.xhtml?windowId=ae2&roomCode=S6,Seminarraum 6/253,20,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13,",AFDG10
/events/roomSchedule.xhtml?windowId=ae2&roomCode=2537,Seminarraum 7/253,20,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Stiege 7",AFDG06
/events/roomSchedule.xhtml?windowId=ae2&roomCode=2503,Seminarraum 8,25,E006,via TISS,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hof 2, Stiege 7, ebenerdig",AHEG05
/events/roomSchedule.xhtml?windowId=ae2&roomCode=AIS,Seminarraum AI,25,E141,persönlich,Verfügbar,Atominstitut,"Stadionallee 2,",ZDEG10
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ARG,Seminarraum Argentinierstrasse,70,E184,via TISS,Verfügbar,Institutsgebäude,"Argentinierstr. 8, Argentinierstrasse 8 od. Paniglgasse, EG",EAEG06
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BA+02A,Seminarraum BA 02A,40,E164,via TISS,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG",BA02G02
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BA+02B,Seminarraum BA 02B,70,E166,persönlich,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG",BA02A17
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BA+02C,Seminarraum BA 02C,20,E302,via TISS,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG",BA02G08
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEMBA03,Seminarraum BA 03/ Sitzungszimmer Dekanat,30,E402,persönlich,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 3.OG",BA03A17
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BA+05,Seminarraum BA 05,40,E325,via TISS,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 5.OG",BA05G02
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BA+08A,Seminarraum BA 08A,40,E322,via TISS,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 8.OG",BA08G02
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BA+08B,Seminarraum BA 08B,30,E311,via TISS,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 8.OG",BA08G08
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SR+BA+10B,Seminarraum BA 10B,30,E315,via TISS,Verfügbar,Plus Energie Büro Hochhaus,"Getreidemarkt 9, Bauteil BA Hochhaus, 10.OG",BA10G08
